video_link,video_views,video_title,channel_url,creator_name,creator_gender,total_channel_subcribers,total_channel_views,duration_of_video,duration_in_seconds,date_of_video_upload,no_of_likes,language_of_the_video,subtitle,video_description,hashtags,no_of_comments,date_of_the_last_comment,maximum_quality_of_the_video,no_of_videos_the_channel,no_of_playlist,premiered_or_not,community_engagement_(posts_per_week),intern_who_collected_the_data,duration_in_minutes,upload_year,upload_month,upload_weekday,length_category
https://www.youtube.com/watch?v=_0fUOJ55gis,146059,Samse - Didupe Off-road Royal Enfield Himalayan,https://www.youtube.com/c/sriharick,srihari ck,Male,40200,7964284,00:30:41,1841,2022-07-29,6700,Kannada,no,Yes,0,419,2022-07-29,1080p,462,12,No,1,Akhil Teja,31,2022,July,Friday,Long
https://www.youtube.com/watch?v=_70MSLPRfZI,231969,Bhoom Baddhal Web Series,https://www.youtube.com/c/ChaibisketTelugu,Chai Bisket,Male,920000,137535681,00:14:24,864,2022-05-22,7800,Telugu,no,Yes,1,189,2022-05-22,1080p,251,12,Yes,2,Akhil Teja,14,2022,May,Sunday,Medium
https://www.youtube.com/watch?v=_8gfCdt3H00&t=87s,878,"Customer Psychology, Four Views Of Consumer Decision Making",https://www.youtube.com/channel/UCcIUnCsBfONvbWdm3ncr82w,Virda Warsi,Female,458,72945,00:08:12,492,2021-02-09,858,Hindi,no,Yes,0,0,2021-02-09,720p,158,0,No,0,Syed safdar,8,2021,February,Tuesday,Short
https://www.youtube.com/watch?v=_CkFNJgKsFs,9965,Top countries with proven natural gas reserves,https://www.youtube.com/c/trtworld,TRT,Company,1680000,541653219,00:01:06,66,2022-09-13,188,English,no,Yes,0,77,2022-09-13,1080p,46509,48,No,20,Syed safdar,1,2022,September,Tuesday,Supershort
https://www.youtube.com/watch?v=_GFkHA5EZdE,39780561,73 Questions With Selena Gomez,Vogue - YouTube,Vogue,Company,12100000,3600496171,00:07:40,460,2017-03-21,901000,English,yes,Yes,0,28221,2017-03-21,1080p,2872,113,No,1,Rahul Singh,8,2017,March,Tuesday,Short
https://www.youtube.com/watch?v=_HwPGXsklyY,257334,HERO - Baananchige Oduva Baara,https://www.youtube.com/c/RishabShettyFilms,Rishab Shetty Films,Male,382000,154898226,00:06:01,361,2021-03-24,8300,Kannada,no,Yes,1,387,2021-03-24,2160p,94,14,No,0,Akhil Teja,6,2021,March,Wednesday,Short
https://www.youtube.com/watch?v=_LTiEXMc5J0,8830286,PUBG - Season 4 Gameplay Trailer,PUBG: BATTLEGROUNDS - YouTube,PUBG: BATTLEGROUNDS,Company,2190000,225870537,00:02:32,152,2019-07-24,236000,English,no,Yes,0,6345,2019-07-24,1080p,571,31,No,3,Rahul Singh,3,2019,July,Wednesday,Short
https://www.youtube.com/watch?v=_w6Uxclog7E,8843877,HOGWARTS LEGACY New Gameplay Demo 14 Minutes 4K,https://www.youtube.com/c/WildGamerSK,Wildgamersk,Company,142000,89251109,00:14:18,858,2022-03-18,107000,English,yes,Yes,0,9562,2022-03-18,2160p,2956,45,No,0,prateek,14,2022,March,Friday,Medium
https://www.youtube.com/watch?v=_WOIlB3RisM,3809666,"?GMV? Tribute to Ghost ""SIMON RILEY"" - Legends Never Die - Modern Warfare",https://www.youtube.com/c/CodenameRedDragon,Codename RedDragon,Company,30100,6289003,00:03:54,234,2020-06-17,87000,English,no,Yes,3,6961,2020-06-17,1080p,109,7,No,0,Syed safdar,4,2020,June,Wednesday,Short
https://www.youtube.com/watch?v=06nQFA1lfMk,49244,Hush Hush - Watch Now,Prime Video India - YouTube,Prime,Company,89800000,6300485808,00:00:40,40,2022-09-22,145,Hindi,yes,Yes,3,27,2022-09-22,2160p,4572,122,No,10,Rahul Singh,1,2022,September,Thursday,Supershort
https://www.youtube.com/watch?v=0BBROgyHlFE,5599742,ROUNDER GLUTES: 5 Mistakes Keeping Your Butt Flat,https://www.youtube.com/c/JeremyEthier,Jeremy Ethier,Male,4690000,511124108,00:09:43,583,2022-03-07,70000,English,yes,Yes,0,1558,2022-03-07,1080p,216,8,No,0,prateek,10,2022,March,Monday,Short
https://www.youtube.com/watch?v=0HheRYQ9ass,25052,The BEST Mockups You Will Find Online!,Satori Graphics - YouTube,Satori,Male,999000,58048539,00:05:51,351,2022-08-24,1400,English,yes,Yes,0,70,2022-08-24,1080p,918,76,No,2,Rahul Singh,6,2022,August,Wednesday,Short
https://www.youtube.com/watch?v=0jUj3rfO7eM,50176015,THARA BHAiiiii,CarryMinati - YouTube,Ajey,Male,36800000,3013145951,00:14:32,872,2022-01-19,630000,Hindi,yes,Yes,0,344247,2022-01-19,1080p,179,8,No,1,Rahul Singh,15,2022,January,Wednesday,Medium
https://www.youtube.com/watch?v=0Kx3sobEBFE,94029821,Camila Cabello - Don't Go Yet (Official Video),https://www.youtube.com/channel/UCk0wwaFCIkxwSfi6gpRqQUw,Camila Cabello,Female,160000000,6165551266,00:03:02,182,2021-07-31,983000,English,yes,Yes,2,15842,2021-07-31,1080p,180,41,No,2,Syed safdar,3,2021,July,Saturday,Short
https://www.youtube.com/watch?v=0MtWtPEbTb0,21274487,Sugino Sensei 10th Dan Master of Katori Shinto Ryu,https://www.youtube.com/c/100healthyears,100 Years Of Health,Company,25500,21328785,00:04:16,256,2010-03-05,196000,Japenese,no,Yes,7,16733,2010-03-05,240p,308,21,No,0,prateek,4,2010,March,Friday,Short
https://www.youtube.com/watch?v=0vOeQehhXg4,371268,Dar es salaam to kilimanjaro flight,https://www.youtube.com/c/NaaAnveshana,Naa Anveshana,Male,526000,138395780,00:24:00,1440,2022-09-03,20000,Telugu,no,Yes,0,1221,2022-09-03,2160p,850,43,No,7,Akhil Teja,24,2022,September,Saturday,Medium
https://www.youtube.com/watch?v=0Wd7ZhGSkRo,1250286,Hands-on: DJIs FPV is so immersive youll feel like youre flying at nearly 90mph,CNET - YouTube,CNET,Company,35300000,1582960304,00:06:15,375,2021-03-02,12000,English,yes,Yes,0,1000,2021-03-02,2160p,20899,170,No,2,Rahul Singh,6,2021,March,Tuesday,Short
https://www.youtube.com/watch?v=1_KX_mJM2yA,115636,SUNDAY ATROCITIES | FITNESS INFLUENCERS LIFE ??????? ,https://www.youtube.com/channel/UC4tAmPlk4IqPjYBcchbyeXg,Raja ajith,Male,29200,1951843,00:08:28,508,2022-08-30,2600,Tamil,yes,Yes,0,77,2022-08-30,1080p,47,1,No,1,Thinesh,8,2022,August,Tuesday,Short
https://www.youtube.com/watch?v=10Kqx6bUlXc,1770573,Are We Alone?,Aperture - YouTube,Aperture,Male,16000000,116090698,00:20:15,1215,2022-10-18,42000,English,yes,Yes,0,6137,2022-10-18,2160p,145,4,No,3,Rahul Singh,20,2022,October,Tuesday,Medium
https://www.youtube.com/watch?v=11QEwxkEmAE,235881,Acharya Movie Review,https://www.youtube.com/c/BarbellPitchMeetings,Barbell Pitch Meetings,Male,63200,7953522,00:08:08,488,2022-04-29,10000,Telugu,no,Yes,0,1330,2022-04-29,1080p,68,2,Yes,1,Akhil Teja,8,2022,April,Friday,Short
https://www.youtube.com/watch?v=11vxt-Bo51Y&t=106s,11234302,I opened free 5 star hotels for poor,https://www.youtube.com/c/HarshaSaiForYou,Harsha Sai - For You Telugu,Male,7060000,665465558,00:19:49,1189,2022-08-03,1100000,Telugu,no,Yes,1,78759,2022-08-03,2160p,108,11,No,1,Akhil Teja,20,2022,August,Wednesday,Medium
https://www.youtube.com/watch?v=12deJL0PFlw,151671688,Seaworld SHAMU Killer Whale Show,https://www.youtube.com/c/videotragic,Videotragic,Company,405000,151596424,00:09:53,593,2009-07-18,911000,English,no,Yes,0,32478,2009-07-18,720p,15,0,No,0,prateek,10,2009,July,Saturday,Short
https://www.youtube.com/watch?v=15NtFld9mVM,68333,5 Advanced Tips on how to use IF formula in Excel that will SURPRISE you,Chandoo - YouTube,Purna Buggirala,Male,2930000,21517243,00:09:28,568,2022-06-28,1900,English,yes,Yes,2,135,2022-06-28,1080p,383,45,No,2,Rahul Singh,9,2022,June,Tuesday,Short
https://www.youtube.com/watch?v=1BpYbEi2QcI,8551935,Do 100 PUSH UPS A Day | Life Changing,https://www.youtube.com/c/CHRISHERIA,Chris Heria,Male,4200000,310394965,00:13:28,808,2020-10-30,217000,English,yes,Yes,0,6603,2020-10-30,1080p,253,20,No,1,prateek,13,2020,October,Friday,Medium
https://www.youtube.com/watch?v=1h7n0YiyYvk,3517520,Pokémon Journeys,Pokémon Asia Official (Hindi) - YouTube,Pokémon Asia Officia,Company,2190000,300672370,00:21:18,1278,2022-08-26,0,Hindi,no,Yes,3,0,2022-08-26,1080p,67,4,No,0,Rahul Singh,21,2022,August,Friday,Medium
https://www.youtube.com/watch?v=2BDHD9xuycE&t=8s,1118970,Types Of First Dates | Niharika Nm,https://www.youtube.com/c/NiharikaNm,Niharika Nm,Female,1930000,359288086,00:10:03,603,2020-09-08,39000,English,yes,Yes,1,2861,2020-09-08,1080p,83,16,No,0,Akhil Teja,10,2020,September,Tuesday,Short
https://www.youtube.com/watch?v=2btS31AU3Iw,3346789,How to build Dynamic & Interactive Dashboard in EXCEL with Pivot Tables&Charts | Tutorial Episode #1,https://www.youtube.com/c/OtherLevel%E2%80%99s,Other LevelS,Company,219000,11785885,00:30:37,1837,2020-06-15,43000,English,no,Yes,3,494,2020-06-15,1080p,86,11,No,2,prateek,31,2020,June,Monday,Long
https://www.youtube.com/watch?v=2i0Vnjasnwo&t=1044s,909640,Mercedes-Benz GLS 400D 4MATIC Review || In Telugu ||,https://www.youtube.com/channel/UCBVDOqAOemETfc-MOn4fqgA,PrasadAutomobile,Male,209000,5827463,00:24:35,1475,2022-08-31,34000,Telugu,no,Yes,0,1368,2022-08-31,2160p,13,16,No,0,Akhil Teja,25,2022,August,Wednesday,Medium
https://www.youtube.com/watch?v=2jVBWyih-RU,2858740,Cars on the Road - Cast - TRUCKS,DisneyMusicVEVO - YouTube,Disney,Company,30300000,25216557237,00:03:19,199,2022-09-16,3100,English,yes,Yes,2,0,2022-09-16,1080p,1812,43,No,2,Rahul Singh,3,2022,September,Friday,Short
https://www.youtube.com/watch?v=2Qsn7QHS1XU,2140193,Why You Should Skip the iPhone 14...,https://www.youtube.com/c/unboxtherapy,Unbox Therapy,Male,18200000,4357678046,00:20:04,1204,2022-09-21,21000,English,yes,Yes,0,3847,2022-09-21,2160p,2064,11,No,0,Akhil Teja,20,2022,September,Wednesday,Medium
https://www.youtube.com/watch?v=2Vv-BfVoq4g,3278291072,Ed Sheeran - Perfect,Ed Sheeran - YouTube,Ed Sheeran,Male,52400000,28173317993,00:04:39,279,2017-11-09,18000000,English,no,Yes,3,476983,2017-11-09,2160p,257,30,No,0,Rahul Singh,5,2017,November,Thursday,Short
https://www.youtube.com/watch?v=35QGGFMHuAY,68789,Volkswagen Polo All Variants | Gone But Not Forgotten,https://www.youtube.com/c/evoIndia,evo India,Male,258000,45520950,00:29:02,1742,2022-08-19,2600,English,no,Yes,1,223,2022-08-19,2160p,762,11,No,1,Akhil Teja,29,2022,August,Friday,Medium
https://www.youtube.com/watch?v=3jS_yEK8qVI,138831703,Worlds Most Dangerous Escape Room!,https://www.youtube.com/user/MrBeast6000,MrBeast ,Male,104000000,17367031867,00:08:00,480,2022-01-30,4000000,English,yes,Yes,0,144901,2022-01-30,1080p,728,7,No,0,Syed safdar,8,2022,January,Sunday,Short
https://www.youtube.com/watch?v=3SsK-cxlj_w,17476468,25 Greatest Natural Wonders of the World - Travel Video,https://www.youtube.com/c/touropia,touropia,Company,1060000,189275665,00:35:03,2103,2021-07-14,98000,English,yes,Yes,0,2616,2021-07-14,1080p,107,5,No,0,Syed safdar,35,2021,July,Wednesday,Long
https://www.youtube.com/watch?v=3xtntVX3uCM,36559485,School PTM,Harsh Beniwal - YouTube,Harsh Beniwal,Male,15000000,1672855100,00:14:21,861,2019-01-13,1600000,Hindi,no,Yes,0,40241,2019-01-13,1080p,160,2,No,0,Rahul Singh,14,2019,January,Sunday,Medium
https://www.youtube.com/watch?v=3ZuOzjepD3E,100,Unnoticable things when Storing information in Excel | YourExcelGuy,https://www.youtube.com/c/YourExcelGuy,Kadhiravan Jayachandiran,Male,326,2797,00:01:19,79,2022-01-16,6,English,yes,Yes,0,0,2022-01-16,1080p,66,5,No,0,Syed safdar,1,2022,January,Sunday,Supershort
https://www.youtube.com/watch?v=428zc1Ng3mg,169135,This Is Why Red Bull Keeps Winning Races,https://www.youtube.com/c/GPCulture,GP Culture,Company,29700,8888869,00:09:04,544,2022-09-16,688,English,yes,Yes,3,233,2022-09-16,1080p,53,1,No,3,Syed safdar,9,2022,September,Friday,Short
https://www.youtube.com/watch?v=44UA61eY008,445718,Police Officers Find Out - What is JIHAD?,https://www.youtube.com/c/SabeelAhmedIslam,Sabeel Ahmed,Male,328000,37262644,00:04:55,295,2022-09-14,7700,English,yes,Yes,0,799,2022-09-14,1080p,350,5,No,1,Syed safdar,5,2022,September,Wednesday,Short
